0,0,0,0,0,0,0,127,127,127,127,0,0,0,0,0,0
0,0,0,0,0,0,128,127,127,127,127,0,0,0,0,0,0
0,0,0,0,0,0,128,127,127,127,127,0,128,0,0,0,0
0,0,0,0,127,127,127,127,127,127,127,0,128,127,127,127,126
0,0,0,0,126,127,127,127,127,127,127,126,0,127,127,127,127
0,0,0,0,126,127,127,127,127,127,126,127,0,127,127,127,126
0,0,0,0,127,127,127,127,127,126,127,127,0,127,127,127,126
0,0,0,0,127,127,127,127,126,127,127,0,0,127,127,127,127
0,0,0,0,127,127,127,127,127,127,0,0,0,127,127,127,127
0,127,127,127,127,127,0,0,0,0,127,127,127,127,127,127,0
0,127,127,126,127,127,127,127,127,126,127,127,0,0,0,0,0
0,127,127,127,126,127,126,127,127,129,129,131,0,0,0,0,0
0,127,127,127,127,127,128,128,127,129,129,131,0,0,0,0,0
0,127,127,127,127,127,128,128,127,0,0,0,0,0,0,0,0
127,127,127,127,127,126,126,127,127,0,0,0,0,0,0,0,0
127,127,127,127,127,127,127,127,127,0,0,0,0,0,0,0,0
127,127,127,127,127,127,0,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,0,127,127,127,0,0,0,0,0,0,0
126,127,127,127,127,126,127,127,127,127,0,0,0,0,0,0,0
127,127,127,0,126,0,0,0,0,127,0,0,0,0,0,0,0
127,127,127,0,127,127,0,0,0,127,0,0,0,0,0,0,0
127,126,127,0,0,126,127,127,127,126,0,0,0,0,0,0,0
127,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
